cases.0.project.project_id	cases.0.samples.0.tissue_type	file_id	id
TCGA-BRCA	Tumor	c15e9ead-0373-486e-a99b-26b96bd3ccc4	c15e9ead-0373-486e-a99b-26b96bd3ccc4
TCGA-BRCA	Tumor	845def46-3502-40a8-aff1-8d021906cee5	845def46-3502-40a8-aff1-8d021906cee5
TCGA-BRCA	Tumor	e24e6f7c-49c1-498e-b269-4bee014007af	e24e6f7c-49c1-498e-b269-4bee014007af
TCGA-BRCA	Tumor	2faa9332-e577-4884-94e4-b895827db8b6	2faa9332-e577-4884-94e4-b895827db8b6
TCGA-BRCA	Tumor	e25bb12b-f88b-41c5-951e-a36d4b94008f	e25bb12b-f88b-41c5-951e-a36d4b94008f
TCGA-BRCA	Tumor	71175258-a00a-4035-8f33-eb48bf04066f	71175258-a00a-4035-8f33-eb48bf04066f
TCGA-BRCA	Tumor	56209bc1-f94b-4aa4-a9dd-757003f36fd2	56209bc1-f94b-4aa4-a9dd-757003f36fd2
TCGA-BRCA	Tumor	064215bd-9ec9-4a16-8ea2-9c6604156398	064215bd-9ec9-4a16-8ea2-9c6604156398
TCGA-BRCA	Tumor	6df72103-ccfb-4a53-b839-2e8c47ec2145	6df72103-ccfb-4a53-b839-2e8c47ec2145
TCGA-BRCA	Tumor	c3b9e954-9acd-481d-b6d1-86db1e62d037	c3b9e954-9acd-481d-b6d1-86db1e62d037
TCGA-BRCA	Tumor	ff1f2f31-8607-4627-b487-c5e39e7c30f5	ff1f2f31-8607-4627-b487-c5e39e7c30f5
TCGA-BRCA	Normal	be386ce9-a12f-4c16-80ba-a5d47d5b374e	be386ce9-a12f-4c16-80ba-a5d47d5b374e
TCGA-BRCA	Tumor	cf53cdad-a323-475e-a84a-87b68d13e262	cf53cdad-a323-475e-a84a-87b68d13e262
TCGA-ESCA	Tumor	97b85ce5-78f9-4533-a1c0-a24128f72d87	97b85ce5-78f9-4533-a1c0-a24128f72d87
TCGA-ESCA	Tumor	03b4d0b2-3882-4273-a543-4b8690f33c95	03b4d0b2-3882-4273-a543-4b8690f33c95
TCGA-ESCA	Tumor	62ad27b6-e198-4328-b142-513f089b686b	62ad27b6-e198-4328-b142-513f089b686b
TCGA-ESCA	Tumor	f2b318a4-c8ec-40f2-884b-c41994a920cc	f2b318a4-c8ec-40f2-884b-c41994a920cc
TCGA-ESCA	Tumor	00373cba-948b-4fb5-a8ea-8aa612f4ea99	00373cba-948b-4fb5-a8ea-8aa612f4ea99
TCGA-ESCA	Normal	9189dde6-15da-45e1-adef-addd408c82c2	9189dde6-15da-45e1-adef-addd408c82c2
TCGA-ESCA	Tumor	cc9dd8d7-5dab-4325-8d8e-616ccd72f944	cc9dd8d7-5dab-4325-8d8e-616ccd72f944
TCGA-ESCA	Tumor	488924c4-faea-48c6-a4b8-f47cc4f42aaf	488924c4-faea-48c6-a4b8-f47cc4f42aaf
TCGA-ESCA	Normal	69b8f969-374c-4347-bd5b-8ad17c8a2f9c	69b8f969-374c-4347-bd5b-8ad17c8a2f9c
TCGA-ESCA	Tumor	6ca4ed15-37d0-4046-a7a7-c20ec11c00f2	6ca4ed15-37d0-4046-a7a7-c20ec11c00f2
TCGA-ESCA	Tumor	c82aed75-4433-42db-adee-d1f72afb4511	c82aed75-4433-42db-adee-d1f72afb4511
TCGA-ESCA	Tumor	fa819f19-2fef-4b8e-951e-2e27a3b652a6	fa819f19-2fef-4b8e-951e-2e27a3b652a6
TCGA-ESCA	Tumor	fe31e331-4409-431e-b3e1-a8d080afc21d	fe31e331-4409-431e-b3e1-a8d080afc21d
TCGA-ESCA	Tumor	51ae74f0-eff5-4a01-b374-b9a9b08d1848	51ae74f0-eff5-4a01-b374-b9a9b08d1848
TCGA-ESCA	Tumor	5693ee07-e666-4f90-b254-d5a3c6eeaa92	5693ee07-e666-4f90-b254-d5a3c6eeaa92
TCGA-ESCA	Tumor	b2c4c42c-7afb-42ff-b16a-8038777a8993	b2c4c42c-7afb-42ff-b16a-8038777a8993
TCGA-ESCA	Tumor	256e5c84-5758-451e-a29c-d4eeb5cc0483	256e5c84-5758-451e-a29c-d4eeb5cc0483
TCGA-ESCA	Tumor	27a2203b-2ad5-4a44-8935-f13af082e6d0	27a2203b-2ad5-4a44-8935-f13af082e6d0
TCGA-ESCA	Tumor	58340c97-a7a3-4e08-b767-28984bee2ae3	58340c97-a7a3-4e08-b767-28984bee2ae3
TCGA-ESCA	Tumor	6aa22684-2c4c-4cdf-8293-a542585a37fc	6aa22684-2c4c-4cdf-8293-a542585a37fc
TCGA-ESCA	Tumor	42a0f086-c20b-41d8-a61d-cc71a4f1dec0	42a0f086-c20b-41d8-a61d-cc71a4f1dec0
TCGA-ESCA	Tumor	7c0bd907-317a-4b44-8f21-4aaf1da64290	7c0bd907-317a-4b44-8f21-4aaf1da64290
TCGA-BRCA	Tumor	eea8e274-7b23-444d-999d-1741d7a928d2	eea8e274-7b23-444d-999d-1741d7a928d2
TCGA-BRCA	Tumor	2b64d9ef-56fc-4362-99c7-d0cc6011c2a4	2b64d9ef-56fc-4362-99c7-d0cc6011c2a4
TCGA-BRCA	Tumor	871d28f4-09d5-4f16-8c29-4aa7d247f3e3	871d28f4-09d5-4f16-8c29-4aa7d247f3e3
TCGA-BRCA	Tumor	fb32f0b1-4fb7-43d5-8091-dc13a1f6d9e8	fb32f0b1-4fb7-43d5-8091-dc13a1f6d9e8
